,engagement_count,bet_intent_count
FIXTURE:ufo:mtch:1ve-02q,34,34
FIXTURE:ufo:mtch:1vh-03r,34,34
FIXTURE:ufo:mtch:1vh-0d0,34,34
FIXTURE:ufo:mtch:1vh-0jq,34,34
FIXTURE:ufo:mtch:1vh-2sz,34,34
FIXTURE:ufo:mtch:1vj-065,34,34
FIXTURE:ufo:mtch:1vj-066,34,34
FIXTURE:ufo:mtch:1vk-03c,34,34
FIXTURE:ufo:mtch:1vl-03f,34,34
FIXTURE:ufo:mtch:1ut-2at,33,33
FIXTURE:ufo:mtch:1uw-02f,33,33
FIXTURE:ufo:mtch:1v0-02k,33,33
FIXTURE:ufo:mtch:1v1-00q,33,33
FIXTURE:ufo:mtch:1v2-00j,33,33
FIXTURE:ufo:mtch:1v2-24u,33,33
FIXTURE:ufo:mtch:1v3-014,33,33
FIXTURE:ufo:mtch:1v4-061,33,33
FIXTURE:ufo:mtch:1v5-025,33,33
FIXTURE:ufo:mtch:1v6-013,33,33
FIXTURE:ufo:mtch:1v6-0k4,33,33
FIXTURE:ufo:mtch:1v6-18f,33,33
FIXTURE:ufo:mtch:1vb-1ne,33,33
FIXTURE:ufo:mtch:1vc-03s,33,33
FIXTURE:ufo:mtch:1ve-2k1,33,33
FIXTURE:ufo:mtch:1vf-0ft,33,33
FIXTURE:ufo:mtch:1vh-0q9,33,33
FIXTURE:ufo:mtch:1vi-05j,33,33
FIXTURE:ufo:mtch:1vk-0az,33,33
FIXTURE:ufo:mtch:1vk-0fr,33,33
FIXTURE:ufo:mtch:1vl-03d,33,33
FIXTURE:ufo:mtch:1vl-04p,33,33
FIXTURE:ufo:mtch:1vm-01n,33,33
FIXTURE:ufo:mtch:1uw-04a,32,32
FIXTURE:ufo:mtch:1uw-0bx,32,32
FIXTURE:ufo:mtch:1v0-0by,32,32
FIXTURE:ufo:mtch:1v2-02a,32,32
FIXTURE:ufo:mtch:1v2-02q,32,32
FIXTURE:ufo:mtch:1v2-0k0,32,32
FIXTURE:ufo:mtch:1v4-01r,32,32
FIXTURE:ufo:mtch:1v5-2uq,32,32
FIXTURE:ufo:mtch:1v6-0a6,32,32
FIXTURE:ufo:mtch:1v6-269,32,32
FIXTURE:ufo:mtch:1v7-01r,32,32
FIXTURE:ufo:mtch:1v7-020,32,32
FIXTURE:ufo:mtch:1v7-089,32,32
FIXTURE:ufo:mtch:1v7-0xn,32,32
FIXTURE:ufo:mtch:1v9-00f,32,32
FIXTURE:ufo:mtch:1va-033,32,32
FIXTURE:ufo:mtch:1vc-00r,32,32
FIXTURE:ufo:mtch:1vd-03r,32,32
FIXTURE:ufo:mtch:1vd-04w,32,32
FIXTURE:ufo:mtch:1vh-03s,32,32
FIXTURE:ufo:mtch:1vh-053,32,32
FIXTURE:ufo:mtch:1vh-1v7,32,32
FIXTURE:ufo:mtch:1vj-06y,32,32
FIXTURE:ufo:mtch:1vk-044,32,32
FIXTURE:ufo:mtch:1uu-01h,31,31
FIXTURE:ufo:mtch:1ux-0ks,31,31
FIXTURE:ufo:mtch:1ux-26o,31,31
FIXTURE:ufo:mtch:1v2-01j,31,31
FIXTURE:ufo:mtch:1v2-04a,31,31
FIXTURE:ufo:mtch:1v2-0jw,31,31
FIXTURE:ufo:mtch:1v5-25y,31,31
FIXTURE:ufo:mtch:1v7-0ae,31,31
FIXTURE:ufo:mtch:1vb-06x,31,31
FIXTURE:ufo:mtch:1vb-238,31,31
FIXTURE:ufo:mtch:1vc-03t,31,31
FIXTURE:ufo:mtch:1vc-0s0,31,31
FIXTURE:ufo:mtch:1vd-01e,31,31
FIXTURE:ufo:mtch:1vh-08a,31,31
FIXTURE:ufo:mtch:1vh-1ga,31,31
FIXTURE:ufo:mtch:1vh-2os,31,31
FIXTURE:ufo:mtch:1vi-09j,31,31
FIXTURE:ufo:mtch:1vk-00x,31,31
FIXTURE:ufo:mtch:1vk-02l,31,31
FIXTURE:ufo:mtch:1vm-1er,31,31
FIXTURE:ufo:mtch:1us-024,30,30
FIXTURE:ufo:mtch:1us-02h,30,30
FIXTURE:ufo:mtch:1uu-00t,30,30
FIXTURE:ufo:mtch:1uu-020,30,30
FIXTURE:ufo:mtch:1uu-1y1,30,30
FIXTURE:ufo:mtch:1uv-0e8,30,30
FIXTURE:ufo:mtch:1uv-25f,30,30
FIXTURE:ufo:mtch:1uw-03j,30,30
FIXTURE:ufo:mtch:1ux-03o,30,30
FIXTURE:ufo:mtch:1ux-0fr,30,30
FIXTURE:ufo:mtch:1uz-0mi,30,30
FIXTURE:ufo:mtch:1uz-0n2,30,30
FIXTURE:ufo:mtch:1uz-25c,30,30
FIXTURE:ufo:mtch:1v0-01b,30,30
FIXTURE:ufo:mtch:1v0-02o,30,30
FIXTURE:ufo:mtch:1v1-1lk,30,30
FIXTURE:ufo:mtch:1v2-16g,30,30
FIXTURE:ufo:mtch:1v2-1rd,30,30
FIXTURE:ufo:mtch:1v3-26j,30,30
FIXTURE:ufo:mtch:1v3-26w,30,30
FIXTURE:ufo:mtch:1v4-03a,30,30
FIXTURE:ufo:mtch:1v4-0bg,30,30
FIXTURE:ufo:mtch:1v5-026,30,30
FIXTURE:ufo:mtch:1v5-03f,30,30
FIXTURE:ufo:mtch:1v6-039,30,30
FIXTURE:ufo:mtch:1v6-04u,30,30
FIXTURE:ufo:mtch:1v6-08t,30,30
FIXTURE:ufo:mtch:1v6-0jw,30,30
FIXTURE:ufo:mtch:1v7-0bt,30,30
FIXTURE:ufo:mtch:1v8-00l,30,30
FIXTURE:ufo:mtch:1v8-0ht,30,30
FIXTURE:ufo:mtch:1vb-074,30,30
FIXTURE:ufo:mtch:1vd-02u,30,30
FIXTURE:ufo:mtch:1vd-07w,30,30
FIXTURE:ufo:mtch:1vf-219,30,30
FIXTURE:ufo:mtch:1vh-04r,30,30
FIXTURE:ufo:mtch:1vi-03z,30,30
FIXTURE:ufo:mtch:1vi-04l,30,30
FIXTURE:ufo:mtch:1vk-094,30,30
FIXTURE:ufo:mtch:1vl-1zp,30,30
FIXTURE:ufo:mtch:1vl-23b,30,30
FIXTURE:ufo:mtch:1us-04n,29,29
FIXTURE:ufo:mtch:1us-04q,29,29
FIXTURE:ufo:mtch:1us-0j8,29,29
FIXTURE:ufo:mtch:1us-1q8,29,29
FIXTURE:ufo:mtch:1ut-00k,29,29
FIXTURE:ufo:mtch:1uw-27q,29,29
FIXTURE:ufo:mtch:1ux-04s,29,29
FIXTURE:ufo:mtch:1ux-0fv,29,29
FIXTURE:ufo:mtch:1uz-03g,29,29
FIXTURE:ufo:mtch:1uz-06r,29,29
FIXTURE:ufo:mtch:1uz-0gl,29,29
FIXTURE:ufo:mtch:1uz-24k,29,29
FIXTURE:ufo:mtch:1v2-00e,29,29
FIXTURE:ufo:mtch:1v2-02g,29,29
FIXTURE:ufo:mtch:1v3-0m9,29,29
FIXTURE:ufo:mtch:1v6-04t,29,29
FIXTURE:ufo:mtch:1v6-0aa,29,29
FIXTURE:ufo:mtch:1v6-2hk,29,29
FIXTURE:ufo:mtch:1v7-1w1,29,29
FIXTURE:ufo:mtch:1v9-04q,29,29
FIXTURE:ufo:mtch:1va-032,29,29
FIXTURE:ufo:mtch:1va-079,29,29
FIXTURE:ufo:mtch:1va-1xh,29,29
FIXTURE:ufo:mtch:1vb-013,29,29
FIXTURE:ufo:mtch:1vc-071,29,29
FIXTURE:ufo:mtch:1vd-0br,29,29
FIXTURE:ufo:mtch:1ve-02o,29,29
FIXTURE:ufo:mtch:1ve-0i2,29,29
FIXTURE:ufo:mtch:1vf-04x,29,29
FIXTURE:ufo:mtch:1vg-02z,29,29
FIXTURE:ufo:mtch:1vg-03a,29,29
FIXTURE:ufo:mtch:1vh-03l,29,29
FIXTURE:ufo:mtch:1vh-06r,29,29
FIXTURE:ufo:mtch:1vh-0lj,29,29
FIXTURE:ufo:mtch:1vk-09j,29,29
FIXTURE:ufo:mtch:1vk-0fq,29,29
FIXTURE:ufo:mtch:1vl-05s,29,29
FIXTURE:ufo:mtch:1vl-066,29,29
FIXTURE:ufo:mtch:1vl-0a5,29,29
FIXTURE:ufo:mtch:1vm-020,29,29
FIXTURE:ufo:mtch:1vm-04y,29,29
FIXTURE:ufo:mtch:1vm-06a,29,29
FIXTURE:ufo:mtch:1vm-06b,29,29
FIXTURE:ufo:mtch:1us-025,28,28
FIXTURE:ufo:mtch:1ut-02w,28,28
FIXTURE:ufo:mtch:1uu-00s,28,28
FIXTURE:ufo:mtch:1uu-0a5,28,28
FIXTURE:ufo:mtch:1uv-00g,28,28
FIXTURE:ufo:mtch:1uw-031,28,28
FIXTURE:ufo:mtch:1uw-03q,28,28
FIXTURE:ufo:mtch:1uw-0jv,28,28
FIXTURE:ufo:mtch:1uw-1tw,28,28
FIXTURE:ufo:mtch:1uy-00q,28,28
FIXTURE:ufo:mtch:1uy-01z,28,28
FIXTURE:ufo:mtch:1uy-050,28,28
FIXTURE:ufo:mtch:1uy-0p9,28,28
FIXTURE:ufo:mtch:1uz-0bl,28,28
FIXTURE:ufo:mtch:1v0-07x,28,28
FIXTURE:ufo:mtch:1v1-127,28,28
FIXTURE:ufo:mtch:1v3-26i,28,28
FIXTURE:ufo:mtch:1v5-02a,28,28
FIXTURE:ufo:mtch:1v6-0a7,28,28
FIXTURE:ufo:mtch:1v6-0k9,28,28
FIXTURE:ufo:mtch:1v6-26a,28,28
FIXTURE:ufo:mtch:1v7-05k,28,28
FIXTURE:ufo:mtch:1v7-0pk,28,28
FIXTURE:ufo:mtch:1v9-04f,28,28
FIXTURE:ufo:mtch:1v9-0gq,28,28
FIXTURE:ufo:mtch:1va-0jo,28,28
FIXTURE:ufo:mtch:1va-1up,28,28
FIXTURE:ufo:mtch:1vb-1lr,28,28
FIXTURE:ufo:mtch:1vc-00k,28,28
FIXTURE:ufo:mtch:1vc-01q,28,28
FIXTURE:ufo:mtch:1ve-006,28,28
FIXTURE:ufo:mtch:1ve-0bn,28,28
FIXTURE:ufo:mtch:1vf-02b,28,28
FIXTURE:ufo:mtch:1vh-14e,28,28
FIXTURE:ufo:mtch:1vi-05k,28,28
FIXTURE:ufo:mtch:1vj-041,28,28
FIXTURE:ufo:mtch:1vk-043,28,28
FIXTURE:ufo:mtch:1vk-0fm,28,28
FIXTURE:ufo:mtch:1vk-0m9,28,28
FIXTURE:ufo:mtch:1vl-03p,28,28
FIXTURE:ufo:mtch:1vl-05e,28,28
FIXTURE:ufo:mtch:1us-034,27,27
FIXTURE:ufo:mtch:1us-05b,27,27
FIXTURE:ufo:mtch:1ut-017,27,27
FIXTURE:ufo:mtch:1ut-0r7,27,27
FIXTURE:ufo:mtch:1uv-1nr,27,27
FIXTURE:ufo:mtch:1uw-035,27,27
FIXTURE:ufo:mtch:1uw-0js,27,27
FIXTURE:ufo:mtch:1uw-0jt,27,27
FIXTURE:ufo:mtch:1uw-0yh,27,27
FIXTURE:ufo:mtch:1uw-2pn,27,27
FIXTURE:ufo:mtch:1ux-0kp,27,27
FIXTURE:ufo:mtch:1uy-12o,27,27
FIXTURE:ufo:mtch:1uz-02o,27,27
FIXTURE:ufo:mtch:1v0-010,27,27
FIXTURE:ufo:mtch:1v0-077,27,27
FIXTURE:ufo:mtch:1v1-033,27,27
FIXTURE:ufo:mtch:1v2-00l,27,27
FIXTURE:ufo:mtch:1v3-084,27,27
FIXTURE:ufo:mtch:1v3-0oc,27,27
FIXTURE:ufo:mtch:1v4-03n,27,27
FIXTURE:ufo:mtch:1v5-02y,27,27
FIXTURE:ufo:mtch:1v5-25o,27,27
FIXTURE:ufo:mtch:1v6-010,27,27
FIXTURE:ufo:mtch:1v6-1c5,27,27
FIXTURE:ufo:mtch:1v6-1k4,27,27
FIXTURE:ufo:mtch:1v7-006,27,27
FIXTURE:ufo:mtch:1v7-039,27,27
FIXTURE:ufo:mtch:1v9-0ll,27,27
FIXTURE:ufo:mtch:1va-1ba,27,27
FIXTURE:ufo:mtch:1vb-22v,27,27
FIXTURE:ufo:mtch:1vd-032,27,27
FIXTURE:ufo:mtch:1ve-083,27,27
FIXTURE:ufo:mtch:1vh-0a3,27,27
FIXTURE:ufo:mtch:1vi-068,27,27
FIXTURE:ufo:mtch:1vi-255,27,27
FIXTURE:ufo:mtch:1vk-082,27,27
FIXTURE:ufo:mtch:1vk-0ma,27,27
FIXTURE:ufo:mtch:1us-058,26,26
FIXTURE:ufo:mtch:1uv-0t9,26,26
FIXTURE:ufo:mtch:1uw-2pk,26,26
FIXTURE:ufo:mtch:1ux-01n,26,26
FIXTURE:ufo:mtch:1uy-0m7,26,26
FIXTURE:ufo:mtch:1uy-1vp,26,26
FIXTURE:ufo:mtch:1v0-07n,26,26
FIXTURE:ufo:mtch:1v4-07m,26,26
FIXTURE:ufo:mtch:1v4-2bm,26,26
FIXTURE:ufo:mtch:1v5-0gk,26,26
FIXTURE:ufo:mtch:1v6-02t,26,26
FIXTURE:ufo:mtch:1v6-03m,26,26
FIXTURE:ufo:mtch:1v8-0iq,26,26
FIXTURE:ufo:mtch:1v9-01k,26,26
FIXTURE:ufo:mtch:1v9-0ku,26,26
FIXTURE:ufo:mtch:1va-11i,26,26
FIXTURE:ufo:mtch:1vb-1a2,26,26
FIXTURE:ufo:mtch:1vb-2h8,26,26
FIXTURE:ufo:mtch:1vc-06i,26,26
FIXTURE:ufo:mtch:1vc-1va,26,26
FIXTURE:ufo:mtch:1ve-0ea,26,26
FIXTURE:ufo:mtch:1vh-054,26,26
FIXTURE:ufo:mtch:1vh-0ev,26,26
FIXTURE:ufo:mtch:1vh-1h7,26,26
FIXTURE:ufo:mtch:1vi-05h,26,26
FIXTURE:ufo:mtch:1vi-12r,26,26
FIXTURE:ufo:mtch:1vl-022,26,26
FIXTURE:ufo:mtch:1vl-08q,26,26
FIXTURE:ufo:mtch:1vl-0ir,26,26
FIXTURE:ufo:mtch:1vl-0nf,26,26
FIXTURE:ufo:mtch:1vl-0nr,26,26
FIXTURE:ufo:mtch:1vl-0o9,26,26
FIXTURE:ufo:mtch:1vl-0w5,26,26
FIXTURE:ufo:mtch:1vl-1nk,26,26
FIXTURE:ufo:mtch:1vl-1nm,26,26
FIXTURE:ufo:mtch:1vl-1o9,26,26
FIXTURE:ufo:mtch:1vm-00b,26,26
FIXTURE:ufo:mtch:1vm-03m,26,26
FIXTURE:ufo:mtch:1vm-19r,26,26
FIXTURE:ufo:mtch:1vm-1eo,26,26
FIXTURE:ufo:mtch:1vm-1eq,26,26
FIXTURE:ufo:mtch:1vm-1es,26,26
FIXTURE:ufo:mtch:1ut-07j,25,25
FIXTURE:ufo:mtch:1uu-0av,25,25
FIXTURE:ufo:mtch:1uw-1us,25,25
FIXTURE:ufo:mtch:1uw-27g,25,25
FIXTURE:ufo:mtch:1uy-04h,25,25
FIXTURE:ufo:mtch:1uy-04z,25,25
FIXTURE:ufo:mtch:1uy-1jy,25,25
FIXTURE:ufo:mtch:1uz-04e,25,25
FIXTURE:ufo:mtch:1uz-0bi,25,25
FIXTURE:ufo:mtch:1uz-0jr,25,25
FIXTURE:ufo:mtch:1uz-13g,25,25
FIXTURE:ufo:mtch:1uz-2hh,25,25
FIXTURE:ufo:mtch:1v1-119,25,25
FIXTURE:ufo:mtch:1v3-015,25,25
FIXTURE:ufo:mtch:1v3-27g,25,25
FIXTURE:ufo:mtch:1v4-02r,25,25
FIXTURE:ufo:mtch:1v5-25x,25,25
FIXTURE:ufo:mtch:1v6-00v,25,25
FIXTURE:ufo:mtch:1v6-00z,25,25
FIXTURE:ufo:mtch:1v6-083,25,25
FIXTURE:ufo:mtch:1v6-1f0,25,25
FIXTURE:ufo:mtch:1v7-01u,25,25
FIXTURE:ufo:mtch:1v7-03e,25,25
FIXTURE:ufo:mtch:1v7-061,25,25
FIXTURE:ufo:mtch:1v9-00i,25,25
FIXTURE:ufo:mtch:1v9-01v,25,25
FIXTURE:ufo:mtch:1v9-05t,25,25
FIXTURE:ufo:mtch:1va-2le,25,25
FIXTURE:ufo:mtch:1vd-0dj,25,25
FIXTURE:ufo:mtch:1vd-0ft,25,25
FIXTURE:ufo:mtch:1ve-0ln,25,25
FIXTURE:ufo:mtch:1vf-024,25,25
FIXTURE:ufo:mtch:1vf-189,25,25
FIXTURE:ufo:mtch:1vi-1l3,25,25
FIXTURE:ufo:mtch:1vl-01c,25,25
FIXTURE:ufo:mtch:1vl-03y,25,25
FIXTURE:ufo:mtch:1vl-056,25,25
FIXTURE:ufo:mtch:1vl-0l8,25,25
FIXTURE:ufo:mtch:1us-021,24,24
FIXTURE:ufo:mtch:1us-04e,24,24
FIXTURE:ufo:mtch:1us-0ix,24,24
FIXTURE:ufo:mtch:1ut-01l,24,24
FIXTURE:ufo:mtch:1ut-04l,24,24
FIXTURE:ufo:mtch:1uw-01v,24,24
FIXTURE:ufo:mtch:1uw-1vh,24,24
FIXTURE:ufo:mtch:1uw-279,24,24
FIXTURE:ufo:mtch:1uw-2a5,24,24
FIXTURE:ufo:mtch:1ux-079,24,24
FIXTURE:ufo:mtch:1uy-01u,24,24
FIXTURE:ufo:mtch:1uy-04y,24,24
FIXTURE:ufo:mtch:1uy-1wg,24,24
FIXTURE:ufo:mtch:1uz-041,24,24
FIXTURE:ufo:mtch:1uz-0h1,24,24
FIXTURE:ufo:mtch:1uz-0pk,24,24
FIXTURE:ufo:mtch:1uz-0zn,24,24
FIXTURE:ufo:mtch:1uz-13q,24,24
FIXTURE:ufo:mtch:1v0-046,24,24
FIXTURE:ufo:mtch:1v0-05t,24,24
FIXTURE:ufo:mtch:1v0-05y,24,24
FIXTURE:ufo:mtch:1v0-08k,24,24
FIXTURE:ufo:mtch:1v1-0gn,24,24
FIXTURE:ufo:mtch:1v2-00f,24,24
FIXTURE:ufo:mtch:1v2-00h,24,24
FIXTURE:ufo:mtch:1v3-02c,24,24
FIXTURE:ufo:mtch:1v3-05l,24,24
FIXTURE:ufo:mtch:1v4-02g,24,24
FIXTURE:ufo:mtch:1v4-0em,24,24
FIXTURE:ufo:mtch:1v4-0ip,24,24
FIXTURE:ufo:mtch:1v4-19t,24,24
FIXTURE:ufo:mtch:1v5-03t,24,24
FIXTURE:ufo:mtch:1v5-0h0,24,24
FIXTURE:ufo:mtch:1v5-0wg,24,24
FIXTURE:ufo:mtch:1v6-0c8,24,24
FIXTURE:ufo:mtch:1v6-0ew,24,24
FIXTURE:ufo:mtch:1v6-0fc,24,24
FIXTURE:ufo:mtch:1v6-1lo,24,24
FIXTURE:ufo:mtch:1v7-0bh,24,24
FIXTURE:ufo:mtch:1v7-188,24,24
FIXTURE:ufo:mtch:1v8-02h,24,24
FIXTURE:ufo:mtch:1va-1ai,24,24
FIXTURE:ufo:mtch:1vb-02e,24,24
FIXTURE:ufo:mtch:1vb-2ra,24,24
FIXTURE:ufo:mtch:1vc-01m,24,24
FIXTURE:ufo:mtch:1vc-02m,24,24
FIXTURE:ufo:mtch:1vc-09d,24,24
FIXTURE:ufo:mtch:1vc-1tr,24,24
FIXTURE:ufo:mtch:1vd-3do,24,24
FIXTURE:ufo:mtch:1ve-0eh,24,24
FIXTURE:ufo:mtch:1ve-0lp,24,24
FIXTURE:ufo:mtch:1ve-0lr,24,24
FIXTURE:ufo:mtch:1ve-199,24,24
FIXTURE:ufo:mtch:1ve-1va,24,24
FIXTURE:ufo:mtch:1vf-01g,24,24
FIXTURE:ufo:mtch:1vf-0en,24,24
FIXTURE:ufo:mtch:1vf-0fi,24,24
FIXTURE:ufo:mtch:1vh-09l,24,24
FIXTURE:ufo:mtch:1vh-1yv,24,24
FIXTURE:ufo:mtch:1vj-058,24,24
FIXTURE:ufo:mtch:1vk-02t,24,24
FIXTURE:ufo:mtch:1vk-061,24,24
FIXTURE:ufo:mtch:1vl-01b,24,24
FIXTURE:ufo:mtch:1vl-0gh,24,24
FIXTURE:ufo:mtch:1us-023,23,23
FIXTURE:ufo:mtch:1us-02g,23,23
FIXTURE:ufo:mtch:1uw-2ph,23,23
FIXTURE:ufo:mtch:1ux-1r2,23,23
FIXTURE:ufo:mtch:1uy-00h,23,23
FIXTURE:ufo:mtch:1uy-0gb,23,23
FIXTURE:ufo:mtch:1uy-1d1,23,23
FIXTURE:ufo:mtch:1uz-0gq,23,23
FIXTURE:ufo:mtch:1v0-00y,23,23
FIXTURE:ufo:mtch:1v1-0cc,23,23
FIXTURE:ufo:mtch:1v1-1kv,23,23
FIXTURE:ufo:mtch:1v2-075,23,23
FIXTURE:ufo:mtch:1v2-16b,23,23
FIXTURE:ufo:mtch:1v2-253,23,23
FIXTURE:ufo:mtch:1v3-02b,23,23
FIXTURE:ufo:mtch:1v3-26e,23,23
FIXTURE:ufo:mtch:1v3-26n,23,23
FIXTURE:ufo:mtch:1v3-26z,23,23
FIXTURE:ufo:mtch:1v4-01n,23,23
FIXTURE:ufo:mtch:1v5-0jx,23,23
FIXTURE:ufo:mtch:1v6-014,23,23
FIXTURE:ufo:mtch:1v6-015,23,23
FIXTURE:ufo:mtch:1v6-04i,23,23
FIXTURE:ufo:mtch:1v6-057,23,23
FIXTURE:ufo:mtch:1v6-0a9,23,23
FIXTURE:ufo:mtch:1v6-0ax,23,23
FIXTURE:ufo:mtch:1v6-2fy,23,23
FIXTURE:ufo:mtch:1v7-04j,23,23
FIXTURE:ufo:mtch:1v7-09g,23,23
FIXTURE:ufo:mtch:1v7-0y7,23,23
FIXTURE:ufo:mtch:1v7-1kz,23,23
FIXTURE:ufo:mtch:1v8-0v4,23,23
FIXTURE:ufo:mtch:1va-27m,23,23
FIXTURE:ufo:mtch:1vc-07b,23,23
FIXTURE:ufo:mtch:1vc-09q,23,23
FIXTURE:ufo:mtch:1vd-06w,23,23
FIXTURE:ufo:mtch:1vd-0be,23,23
FIXTURE:ufo:mtch:1ve-0nx,23,23
FIXTURE:ufo:mtch:1vh-012,23,23
FIXTURE:ufo:mtch:1vh-04o,23,23
FIXTURE:ufo:mtch:1vh-1u4,23,23
FIXTURE:ufo:mtch:1vh-206,23,23
FIXTURE:ufo:mtch:1vj-00j,23,23
FIXTURE:ufo:mtch:1vk-0cw,23,23
FIXTURE:ufo:mtch:1vl-068,23,23
FIXTURE:ufo:mtch:1vm-05u,23,23
FIXTURE:ufo:mtch:1vm-23e,23,23
FIXTURE:ufo:mtch:1us-04l,22,22
FIXTURE:ufo:mtch:1us-059,22,22
FIXTURE:ufo:mtch:1us-1q7,22,22
FIXTURE:ufo:mtch:1ut-07l,22,22
FIXTURE:ufo:mtch:1uu-01q,22,22
FIXTURE:ufo:mtch:1uu-01x,22,22
FIXTURE:ufo:mtch:1ux-05r,22,22
FIXTURE:ufo:mtch:1ux-1r0,22,22
FIXTURE:ufo:mtch:1uy-029,22,22
FIXTURE:ufo:mtch:1uy-077,22,22
FIXTURE:ufo:mtch:1uy-0dg,22,22
FIXTURE:ufo:mtch:1uz-02f,22,22
FIXTURE:ufo:mtch:1uz-05b,22,22
FIXTURE:ufo:mtch:1v0-03j,22,22
FIXTURE:ufo:mtch:1v0-07a,22,22
FIXTURE:ufo:mtch:1v0-0sm,22,22
FIXTURE:ufo:mtch:1v1-0gj,22,22
FIXTURE:ufo:mtch:1v1-19u,22,22
FIXTURE:ufo:mtch:1v2-0k6,22,22
FIXTURE:ufo:mtch:1v2-145,22,22
FIXTURE:ufo:mtch:1v2-2il,22,22
FIXTURE:ufo:mtch:1v3-0ap,22,22
FIXTURE:ufo:mtch:1v3-28d,22,22
FIXTURE:ufo:mtch:1v4-02y,22,22
FIXTURE:ufo:mtch:1v4-0dd,22,22
FIXTURE:ufo:mtch:1v5-04t,22,22
FIXTURE:ufo:mtch:1v5-0gl,22,22
FIXTURE:ufo:mtch:1v6-03f,22,22
FIXTURE:ufo:mtch:1v6-0dm,22,22
FIXTURE:ufo:mtch:1v6-0er,22,22
FIXTURE:ufo:mtch:1v6-0n1,22,22
FIXTURE:ufo:mtch:1v6-0n3,22,22
FIXTURE:ufo:mtch:1v7-009,22,22
FIXTURE:ufo:mtch:1v7-0xo,22,22
FIXTURE:ufo:mtch:1v8-0nn,22,22
FIXTURE:ufo:mtch:1v9-025,22,22
FIXTURE:ufo:mtch:1va-03i,22,22
FIXTURE:ufo:mtch:1va-2bk,22,22
FIXTURE:ufo:mtch:1vb-06f,22,22
FIXTURE:ufo:mtch:1vb-0hl,22,22
FIXTURE:ufo:mtch:1vb-2hc,22,22
FIXTURE:ufo:mtch:1vc-07p,22,22
FIXTURE:ufo:mtch:1vd-02o,22,22
FIXTURE:ufo:mtch:1vd-0kk,22,22
FIXTURE:ufo:mtch:1vd-0yl,22,22
FIXTURE:ufo:mtch:1vd-2n1,22,22
FIXTURE:ufo:mtch:1ve-06t,22,22
FIXTURE:ufo:mtch:1ve-2ui,22,22
FIXTURE:ufo:mtch:1vg-0nf,22,22
FIXTURE:ufo:mtch:1vh-08q,22,22
FIXTURE:ufo:mtch:1vh-09i,22,22
FIXTURE:ufo:mtch:1vh-09s,22,22
FIXTURE:ufo:mtch:1vh-1u8,22,22
FIXTURE:ufo:mtch:1vh-2p6,22,22
FIXTURE:ufo:mtch:1vi-03l,22,22
FIXTURE:ufo:mtch:1vi-26o,22,22
FIXTURE:ufo:mtch:1vi-2ey,22,22
FIXTURE:ufo:mtch:1vj-02t,22,22
FIXTURE:ufo:mtch:1vk-09d,22,22
FIXTURE:ufo:mtch:1vk-0nv,22,22
FIXTURE:ufo:mtch:1vl-03x,22,22
FIXTURE:ufo:mtch:1vl-0st,22,22
FIXTURE:ufo:mtch:1us-1sy,21,21
FIXTURE:ufo:mtch:1ut-0aj,21,21
FIXTURE:ufo:mtch:1uv-02e,21,21
FIXTURE:ufo:mtch:1uw-0pj,21,21
FIXTURE:ufo:mtch:1uw-27n,21,21
FIXTURE:ufo:mtch:1uw-2bw,21,21
FIXTURE:ufo:mtch:1uy-01s,21,21
FIXTURE:ufo:mtch:1uy-1cz,21,21
FIXTURE:ufo:mtch:1uz-02d,21,21
FIXTURE:ufo:mtch:1uz-04l,21,21
FIXTURE:ufo:mtch:1uz-0yy,21,21
FIXTURE:ufo:mtch:1v0-039,21,21
FIXTURE:ufo:mtch:1v0-04p,21,21
FIXTURE:ufo:mtch:1v0-0cy,21,21
FIXTURE:ufo:mtch:1v0-0fl,21,21
FIXTURE:ufo:mtch:1v0-0h5,21,21
FIXTURE:ufo:mtch:1v0-0xv,21,21
FIXTURE:ufo:mtch:1v1-03l,21,21
FIXTURE:ufo:mtch:1v1-0gq,21,21
FIXTURE:ufo:mtch:1v2-251,21,21
FIXTURE:ufo:mtch:1v2-255,21,21
FIXTURE:ufo:mtch:1v3-029,21,21
FIXTURE:ufo:mtch:1v3-28i,21,21
FIXTURE:ufo:mtch:1v4-02q,21,21
FIXTURE:ufo:mtch:1v4-0bu,21,21
FIXTURE:ufo:mtch:1v5-0c0,21,21
FIXTURE:ufo:mtch:1v5-1sg,21,21
FIXTURE:ufo:mtch:1v5-25h,21,21
FIXTURE:ufo:mtch:1v6-02l,21,21
FIXTURE:ufo:mtch:1v6-0gp,21,21
FIXTURE:ufo:mtch:1v6-184,21,21
FIXTURE:ufo:mtch:1v6-2lw,21,21
FIXTURE:ufo:mtch:1v7-01v,21,21
FIXTURE:ufo:mtch:1v7-03p,21,21
FIXTURE:ufo:mtch:1v7-05q,21,21
FIXTURE:ufo:mtch:1v7-0e9,21,21
FIXTURE:ufo:mtch:1v7-0xx,21,21
FIXTURE:ufo:mtch:1v9-021,21,21
FIXTURE:ufo:mtch:1v9-0bk,21,21
FIXTURE:ufo:mtch:1v9-11j,21,21
FIXTURE:ufo:mtch:1va-02s,21,21
FIXTURE:ufo:mtch:1va-076,21,21
FIXTURE:ufo:mtch:1vc-06h,21,21
FIXTURE:ufo:mtch:1vc-09r,21,21
